Full Location	Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Cytoband End	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	DB Count Both	CytoRegions	Call	Segment Interpretation	Microarray Nomenclature (ISCN 2016)	Curation By	Materially Modified Segment
chr16:46430576-90096867	true	HCC1395_BL.cyhd.cychp		LOH	16	q11.2	q24.3	43666.291	12184	491	ANKRD26P1, SHCBP1, VPS35, ORC6, MYLK3, C16orf87, GPT2, DNAJA2, NETO2, ITFG1-AS1, ITFG1, PHKB, LOC100507534, LOC101927132, ABCC12, ABCC11, LONP2, LOC100507577, SIAH1, N4BP1, CBLN1, C16orf78, ZNF423, CNEP1R1, HEATR3, PAPD5, ADCY7, MIR6771, BRD7, NKD1, SNX20, LOC101927272, NOD2, CYLD, MIR3181, MIR548AI, LOC101927334, SALL1, LINC01571, C16orf97, LINC00919, LOC102467079, CASC22, TOX3, CASC16, LOC105371267, CHD9, LOC643802, LOC102723373, RBL2, AKTIP, RPGRIP1L, FTO, FTO-IT1, LOC100996338, IRX3, LOC100996345, LOC101927480, CRNDE, IRX5, IRX6, MMP2, LPCAT2, CAPNS2, SLC6A2, CES1P2, CES1P1, CES1, CES5A, LOC283856, GNAO1, DKFZP434H168, MIR3935, AMFR, NUDT21, OGFOD1, BBS2, MT4, MT3, MT2A, MT1L, MT1E, MT1M, MT1JP, MT1A, MT1DP, MT1B, MT1F, MT1G, MT1H, MT1IP, MT1X, NUP93, MIR138-2, SLC12A3, MIR6863, HERPUD1, CETP, NLRC5, CPNE2, FAM192A, RSPRY1, ARL2BP, PLLP, CCL22, CX3CL1, CCL17, CIAPIN1, COQ9, POLR2C, DOK4, CCDC102A, ADGRG5, ADGRG1, ADGRG3, DRC7, KATNB1, KIFC3, MIR6772, LOC388282, CNGB1, TEPP, ZNF319, USB1, MMP15, CFAP20, CSNK2A2, CCDC113, PRSS54, GINS3, NDRG4, SETD6, CNOT1, SNORA46, SNORA50A, SLC38A7, GOT2, APOOP5, LOC101927580, LOC729159, MIR4426, CDH8, CDH11, LOC101927650, LINC00922, CDH5, LINC00920, BEAN1, BEAN1-AS1, TK2, CKLF, CKLF-CMTM1, CMTM1, CMTM2, CMTM3, CMTM4, DYNC1LI2, LOC106699570, TERB1, NAE1, CA7, PDP2, CDH16, RRAD, FAM96B, CES2, CES3, CES4A, CBFB, C16orf70, B3GNT9, TRADD, FBXL8, HSF4, NOL3, KIAA0895L, EXOC3L1, E2F4, ELMO3, MIR328, LRRC29, TMEM208, FHOD1, SLC9A5, PLEKHG4, KCTD19, LRRC36, TPPP3, ZDHHC1, HSD11B2, ATP6V0D1, AGRP, LOC100505942, FAM65A, CTCF, CARMIL2, ACD, PARD6A, ENKD1, C16orf86, GFOD2, RANBP10, TSNAXIP1, CENPT, THAP11, NUTF2, EDC4, NRN1L, PSKH1, CTRL, PSMB10, LCAT, SLC12A4, DPEP3, DPEP2, LOC100131303, DDX28, DUS2, NFATC3, ESRP2, MIR6773, PLA2G15, SLC7A6, SLC7A6OS, PRMT7, SMPD3, ZFP90, CDH3, CDH1, MIR7641-2, TANGO6, HAS3, CHTF8, UTP4, SNTB2, VPS4A, PDF, COG8, NIP7, TMED6, TERF2, CYB5B, MIR1538, NFAT5, NQO1, NOB1, WWP2, MIR140, CLEC18A, PDXDC2P, MIR1972-2, MIR1972-1, PDPR, LOC400541, CLEC18C, LOC105371328, SMG1P7, EXOSC6, AARS, DDX19B, LOC100506083, DDX19A, ST3GAL2, FUK, COG4, SF3B3, SNORD111B, SNORD111, IL34, MTSS1L, VAC14, VAC14-AS1, HYDIN, CMTR2, CALB2, ZNF23, ZNF19, LOC105371335, CHST4, TAT-AS1, TAT, MARVELD3, PHLPP2, SNORA70D, AP1G1, SNORD71, ATXN1L, ZNF821, IST1, PKD1L3, DHODH, HP, HPR, TXNL4B, DHX38, PMFBP1, LINC01572, ZFHX3, HCCAT5, C16orf47, LINC01568, LOC101928035, PSMD7, LOC283922, NPIPB15, LOC105376772, CLEC18B, GLG1, RFWD3, MLKL, FA2H, WDR59, ZNRF1, LDHD, ZFP1, CTRB2, CTRB1, LOC100506281, BCAR1, CFDP1, TMEM170A, CHST6, CHST5, TMEM231, GABARAPL2, ADAT1, KARS, TERF2IP, CNTNAP4, LOC101928203, MIR4719, MON1B, SYCE1L, ADAMTS18, NUDT7, VAT1L, CLEC3A, WWOX, MAF, MAFTRR, LINC01229, LOC102724084, DYNLRB2, LINC01227, CDYL2, PRCAT47, CMC2, CENPN, ATMIN, C16orf46, GCSH, PKD1L2, BCO1, GAN, MIR4720, CMIP, MIR7854, MIR6504, LOC100129617, PLCG2, SDR42E1, HSD17B2, MPHOSPH6, CDH13, MIR8058, LOC101928446, LOC101928417, MIR3182, LOC102724163, HSBP1, MLYCD, OSGIN1, NECAB2, SLC38A8, MBTPS1, HSDL1, DNAAF1, TAF1C, ADAD2, KCNG4, WFDC1, ATP2C2, TLDC1, COTL1, KLHL36, USP10, CRISPLD2, ZDHHC7, KIAA0513, FAM92B, LOC400548, LINC00311, MIR5093, GSE1, GINS2, C16orf74, MIR1910, EMC8, LOC101928557, COX4I1, IRF8, MIR6774, LINC01082, LINC01081, LOC146513, LINC00917, FENDRR, FOXF1, MTHFSD, FLJ30679, FOXC2-AS1, FOXC2, FOXL1, LOC101928614, LOC102724344, LOC440390, LOC101928708, LOC101928682, C16orf95, LOC101928659, FBXO31, MAP1LC3B, ZCCHC14, LOC101928737, JPH3, KLHDC4, LOC102724467, SLC7A5, MIR6775, CA5A, BANP, LOC400553, LOC101928880, ZNF469, ZFPM1, MIR5189, ZC3H18, IL17C, CYBA, MVD, SNAI3-AS1, SNAI3, RNF166, CTU2, PIEZO1, MIR4722, LOC100289580, LOC339059, CDT1, APRT, GALNS, TRAPPC2L, PABPN1L, CBFA2T3, LOC101927793, LOC100129697, ACSF3, LINC00304, LOC400558, CDH15, SLC22A31, ZNF778, ANKRD11, LOC105371414, LOC100287036, LOC101927817, SPG7, RPL13, SNORD68, CPNE7, DPEP1, CHMP1A, SPATA33, CDK10, SPATA2L, VPS9D1, VPS9D1-AS1, ZNF276, FANCA, SPIRE2, TCF25, MC1R, TUBB3, DEF8, CENPBD1, AFG3L1P, DBNDD1, GAS8, GAS8-AS1, URAHP, PRDM7	301	SHCBP1 (611027), VPS35 (601501), ORC6 (607213), MYLK3 (612147), GPT2 (138210), DNAJA2 (611322), NETO2 (607974), ITFG1 (611803), PHKB (172490), ABCC12 (607041), ABCC11 (607040), SIAH1 (602212), CBLN1 (600432), ZNF423 (604557), CNEP1R1 (616869), HEATR3 (614951), PAPD5 (605540), ADCY7 (600385), NKD1 (607851), SNX20 (613281), NOD2 (605956), CYLD (605018), SALL1 (602218), TOX3 (611416), CHD9 (616936), RBL2 (180203), AKTIP (608483), RPGRIP1L (610937), FTO (610966), IRX3 (612985), CRNDE (615624), IRX5 (606195), IRX6 (606196), MMP2 (120360), LPCAT2 (612040), CAPNS2 (616767), SLC6A2 (163970), CES1 (114835), GNAO1 (139311), AMFR (603243), NUDT21 (604978), OGFOD1 (615857), BBS2 (606151), MT4 (606206), MT3 (139255), MT2A (156360), MT1L (156358), MT1E (156351), MT1M (156357), MT1JP (156356), MT1A (156350), MT1B (156349), MT1F (156352), MT1G (156353), MT1H (156354), MT1IP (156355), MT1X (156359), NUP93 (614351), MIR138-2 (613395), SLC12A3 (600968), HERPUD1 (608070), CETP (118470), NLRC5 (613537), CPNE2 (604206), RSPRY1 (616585), ARL2BP (615407), PLLP (600340), CCL22 (602957), CX3CL1 (601880), CCL17 (601520), CIAPIN1 (608943), COQ9 (612837), POLR2C (180663), DOK4 (608333), ADGRG5 (616965), ADGRG1 (604110), KATNB1 (602703), KIFC3 (604535), CNGB1 (600724), TEPP (610264), USB1 (613276), MMP15 (602261), CSNK2A2 (115442), CCDC113 (616070), GINS3 (610610), NDRG4 (614463), SETD6 (616424), CNOT1 (604917), SLC38A7 (614236), GOT2 (138150), CDH8 (603008), CDH11 (600023), CDH5 (601120), BEAN1 (612051), TK2 (188250), CKLF (616074), CMTM1 (607884), CMTM2 (607885), CMTM3 (607886), CMTM4 (607887), DYNC1LI2 (611406), NAE1 (603385), CA7 (114770), PDP2 (615499), CDH16 (603118), RRAD (179503), FAM96B (614778), CES2 (605278), CES3 (605279), CBFB (121360), TRADD (603500), FBXL8 (609077), HSF4 (602438), NOL3 (605235), EXOC3L1 (614117), E2F4 (600659), ELMO3 (606422), MIR328 (613701), FHOD1 (606881), SLC9A5 (600477), PLEKHG4 (609526), TPPP3 (616957), HSD11B2 (614232), ATP6V0D1 (607028), AGRP (602311), CTCF (604167), CARMIL2 (610859), ACD (609377), PARD6A (607484), RANBP10 (614031), TSNAXIP1 (607720), CENPT (611510), THAP11 (609119), NUTF2 (605813), EDC4 (606030), PSKH1 (177015), CTRL (118888), PSMB10 (176847), LCAT (606967), SLC12A4 (604119), DPEP3 (609926), DPEP2 (609925), DDX28 (607618), DUS2 (609707), NFATC3 (602698), ESRP2 (612960), PLA2G15 (609362), SLC7A6 (605641), PRMT7 (610087), SMPD3 (605777), ZFP90 (609451), CDH3 (114021), CDH1 (192090), HAS3 (602428), CHTF8 (613202), UTP4 (607456), SNTB2 (600027), VPS4A (609982), COG8 (606979), TERF2 (602027), CYB5B (611964), NFAT5 (604708), NQO1 (125860), NOB1 (613586), WWP2 (602308), MIR140 (611894), CLEC18A (616571), CLEC18C (616573), EXOSC6 (606490), AARS (601065), DDX19B (605812), ST3GAL2 (607188), FUK (608675), COG4 (606976), SF3B3 (605592), IL34 (612081), MTSS1L (616951), VAC14 (604632), HYDIN (610812), CMTR2 (616190), CALB2 (114051), ZNF23 (194527), ZNF19 (194525), TAT (613018), MARVELD3 (614094), PHLPP2 (611066), AP1G1 (603533), ATXN1L (614301), IST1 (616434), PKD1L3 (607895), DHODH (126064), HP (140100), HPR (140210), DHX38 (605584), ZFHX3 (104155), HCCAT5 (615613), PSMD7 (157970), CLEC18B (616572), GLG1 (600753), RFWD3 (614151), MLKL (615153), FA2H (611026), ZNRF1 (612060), LDHD (607490), CTRB1 (118890), BCAR1 (602941), CFDP1 (608108), CHST6 (605294), CHST5 (604817), TMEM231 (614949), GABARAPL2 (607452), ADAT1 (604230), KARS (601421), TERF2IP (605061), CNTNAP4 (610518), MON1B (608954), ADAMTS18 (607512), NUDT7 (609231), CLEC3A (613588), WWOX (605131), MAF (177075), MAFTRR (616264), DYNLRB2 (607168), CENPN (611509), ATMIN (614693), GCSH (238330), PKD1L2 (607894), BCO1 (605748), GAN (605379), CMIP (610112), PLCG2 (600220), SDR42E1 (616164), HSD17B2 (109685), MPHOSPH6 (605500), CDH13 (601364), HSBP1 (604553), MLYCD (606761), OSGIN1 (607975), SLC38A8 (615585), MBTPS1 (603355), DNAAF1 (613190), TAF1C (604905), KCNG4 (607603), WFDC1 (605322), ATP2C2 (613082), COTL1 (606748), USP10 (609818), CRISPLD2 (612434), ZDHHC7 (614604), KIAA0513 (611675), GSE1 (616886), GINS2 (610609), EMC8 (604886), COX4I1 (123864), IRF8 (601565), LINC01082 (614978), LINC01081 (614977), FENDRR (614975), FOXF1 (601089), MTHFSD (616820), FOXC2 (602402), FOXL1 (603252), FBXO31 (609102), MAP1LC3B (609604), JPH3 (605268), SLC7A5 (600182), CA5A (114761), BANP (611564), ZNF469 (612078), ZFPM1 (601950), IL17C (604628), CYBA (608508), MVD (603236), SNAI3 (612741), PIEZO1 (611184), CDT1 (605525), APRT (102600), GALNS (612222), TRAPPC2L (610970), CBFA2T3 (603870), ACSF3 (614245), CDH15 (114019), ANKRD11 (611192), SPG7 (602783), RPL13 (113703), CPNE7 (605689), DPEP1 (179780), CHMP1A (164010), SPATA33 (615409), CDK10 (603464), ZNF276 (608460), FANCA (607139), SPIRE2 (609217), TCF25 (612326), MC1R (155555), TUBB3 (602661), AFG3L1P (603020), GAS8 (605178), GAS8-AS1 (605179), URAHP (615805), PRDM7 (609759)		Cytoregions Not Set			arr[GRCh38] 16q11.2q24.3(46430576_90096867) hmz	zyang:zhaowei	false
chr16:70253863-90088654	true	HCC1395_BL.cyhd.cychp	1.0	Loss	16	q22.1	q24.3	19834.791	19760	233	AARS, DDX19B, LOC100506083, DDX19A, ST3GAL2, FUK, COG4, SF3B3, SNORD111B, SNORD111, IL34, MTSS1L, VAC14, VAC14-AS1, HYDIN, CMTR2, CALB2, ZNF23, ZNF19, LOC105371335, CHST4, TAT-AS1, TAT, MARVELD3, PHLPP2, SNORA70D, AP1G1, SNORD71, ATXN1L, ZNF821, IST1, PKD1L3, DHODH, HP, HPR, TXNL4B, DHX38, PMFBP1, LINC01572, ZFHX3, HCCAT5, C16orf47, LINC01568, LOC101928035, PSMD7, LOC283922, NPIPB15, LOC105376772, CLEC18B, GLG1, RFWD3, MLKL, FA2H, WDR59, ZNRF1, LDHD, ZFP1, CTRB2, CTRB1, LOC100506281, BCAR1, CFDP1, TMEM170A, CHST6, CHST5, TMEM231, GABARAPL2, ADAT1, KARS, TERF2IP, CNTNAP4, LOC101928203, MIR4719, MON1B, SYCE1L, ADAMTS18, NUDT7, VAT1L, CLEC3A, WWOX, MAF, MAFTRR, LINC01229, LOC102724084, DYNLRB2, LINC01227, CDYL2, PRCAT47, CMC2, CENPN, ATMIN, C16orf46, GCSH, PKD1L2, BCO1, GAN, MIR4720, CMIP, MIR7854, MIR6504, LOC100129617, PLCG2, SDR42E1, HSD17B2, MPHOSPH6, CDH13, MIR8058, LOC101928446, LOC101928417, MIR3182, LOC102724163, HSBP1, MLYCD, OSGIN1, NECAB2, SLC38A8, MBTPS1, HSDL1, DNAAF1, TAF1C, ADAD2, KCNG4, WFDC1, ATP2C2, TLDC1, COTL1, KLHL36, USP10, CRISPLD2, ZDHHC7, KIAA0513, FAM92B, LOC400548, LINC00311, MIR5093, GSE1, GINS2, C16orf74, MIR1910, EMC8, LOC101928557, COX4I1, IRF8, MIR6774, LINC01082, LINC01081, LOC146513, LINC00917, FENDRR, FOXF1, MTHFSD, FLJ30679, FOXC2-AS1, FOXC2, FOXL1, LOC101928614, LOC102724344, LOC440390, LOC101928708, LOC101928682, C16orf95, LOC101928659, FBXO31, MAP1LC3B, ZCCHC14, LOC101928737, JPH3, KLHDC4, LOC102724467, SLC7A5, MIR6775, CA5A, BANP, LOC400553, LOC101928880, ZNF469, ZFPM1, MIR5189, ZC3H18, IL17C, CYBA, MVD, SNAI3-AS1, SNAI3, RNF166, CTU2, PIEZO1, MIR4722, LOC100289580, LOC339059, CDT1, APRT, GALNS, TRAPPC2L, PABPN1L, CBFA2T3, LOC101927793, LOC100129697, ACSF3, LINC00304, LOC400558, CDH15, SLC22A31, ZNF778, ANKRD11, LOC105371414, LOC100287036, LOC101927817, SPG7, RPL13, SNORD68, CPNE7, DPEP1, CHMP1A, SPATA33, CDK10, SPATA2L, VPS9D1, VPS9D1-AS1, ZNF276, FANCA, SPIRE2, TCF25, MC1R, TUBB3, DEF8, CENPBD1, AFG3L1P, DBNDD1, GAS8, GAS8-AS1, URAHP, PRDM7	132	AARS (601065), DDX19B (605812), ST3GAL2 (607188), FUK (608675), COG4 (606976), SF3B3 (605592), IL34 (612081), MTSS1L (616951), VAC14 (604632), HYDIN (610812), CMTR2 (616190), CALB2 (114051), ZNF23 (194527), ZNF19 (194525), TAT (613018), MARVELD3 (614094), PHLPP2 (611066), AP1G1 (603533), ATXN1L (614301), IST1 (616434), PKD1L3 (607895), DHODH (126064), HP (140100), HPR (140210), DHX38 (605584), ZFHX3 (104155), HCCAT5 (615613), PSMD7 (157970), CLEC18B (616572), GLG1 (600753), RFWD3 (614151), MLKL (615153), FA2H (611026), ZNRF1 (612060), LDHD (607490), CTRB1 (118890), BCAR1 (602941), CFDP1 (608108), CHST6 (605294), CHST5 (604817), TMEM231 (614949), GABARAPL2 (607452), ADAT1 (604230), KARS (601421), TERF2IP (605061), CNTNAP4 (610518), MON1B (608954), ADAMTS18 (607512), NUDT7 (609231), CLEC3A (613588), WWOX (605131), MAF (177075), MAFTRR (616264), DYNLRB2 (607168), CENPN (611509), ATMIN (614693), GCSH (238330), PKD1L2 (607894), BCO1 (605748), GAN (605379), CMIP (610112), PLCG2 (600220), SDR42E1 (616164), HSD17B2 (109685), MPHOSPH6 (605500), CDH13 (601364), HSBP1 (604553), MLYCD (606761), OSGIN1 (607975), SLC38A8 (615585), MBTPS1 (603355), DNAAF1 (613190), TAF1C (604905), KCNG4 (607603), WFDC1 (605322), ATP2C2 (613082), COTL1 (606748), USP10 (609818), CRISPLD2 (612434), ZDHHC7 (614604), KIAA0513 (611675), GSE1 (616886), GINS2 (610609), EMC8 (604886), COX4I1 (123864), IRF8 (601565), LINC01082 (614978), LINC01081 (614977), FENDRR (614975), FOXF1 (601089), MTHFSD (616820), FOXC2 (602402), FOXL1 (603252), FBXO31 (609102), MAP1LC3B (609604), JPH3 (605268), SLC7A5 (600182), CA5A (114761), BANP (611564), ZNF469 (612078), ZFPM1 (601950), IL17C (604628), CYBA (608508), MVD (603236), SNAI3 (612741), PIEZO1 (611184), CDT1 (605525), APRT (102600), GALNS (612222), TRAPPC2L (610970), CBFA2T3 (603870), ACSF3 (614245), CDH15 (114019), ANKRD11 (611192), SPG7 (602783), RPL13 (113703), CPNE7 (605689), DPEP1 (179780), CHMP1A (164010), SPATA33 (615409), CDK10 (603464), ZNF276 (608460), FANCA (607139), SPIRE2 (609217), TCF25 (612326), MC1R (155555), TUBB3 (602661), AFG3L1P (603020), GAS8 (605178), GAS8-AS1 (605179), URAHP (615805), PRDM7 (609759)		Cytoregions Not Set			arr[GRCh38] 16q22.1q24.3(70253863_90088654)x1	zyang:zhaowei	false
chr17:18107221-19498322	true	HCC1395_BL.cyhd.cychp		LOH	17	p11.2	p11.2	1391.101	139	44	DRG2, MYO15A, ALKBH5, LLGL1, FLII, MIEF2, TOP3A, SMCR8, SHMT1, MIR6778, EVPLL, FLJ35934, KRT17P5, KRT16P1, LGALS9C, USP32P2, FAM106A, CCDC144B, TBC1D28, ZNF286B, FOXO3B, TRIM16L, FBXW10, TVP23B, PRPSAP2, SLC5A10, FAM83G, GRAP, SNORD3B-2, SNORD3B-1, LOC79999, LOC388436, SNORD3D, GRAPL, SNORD3A, SNORD3C, EPN2, EPN2-IT1, EPN2-AS1, B9D1, MIR1180, MAPK7, MFAP4, RNF112	18	DRG2 (602986), MYO15A (602666), ALKBH5 (613303), LLGL1 (600966), FLII (600362), MIEF2 (615498), TOP3A (601243), SHMT1 (182144), FBXW10 (611679), PRPSAP2 (603762), FAM83G (615886), GRAP (604330), SNORD3A (180710), EPN2 (607263), B9D1 (614144), MAPK7 (602521), MFAP4 (600596), RNF112 (601237)		Cytoregions Not Set			arr[GRCh38] 17p11.2(18107221_19498322) hmz	zyang:zhaowei	false
chr17:45384093-46748690	true	HCC1395_BL.cyhd.cychp		LOH	17	q21.31	q21.31	1364.597	350	23	ARHGAP27, PLEKHM1, MIR4315-2, MIR4315-1, LRRC37A4P, LOC644172, MGC57346, MGC57346-CRHR1, CRHR1-IT1, CRHR1, MAPT-AS1, SPPL2C, MAPT, MAPT-IT1, STH, KANSL1, KANSL1-AS1, LRRC37A, ARL17B, ARL17A, NSFP1, LRRC37A2, NSF	10	ARHGAP27 (610591), PLEKHM1 (611466), CRHR1 (122561), SPPL2C (608284), MAPT (157140), STH (607067), KANSL1 (612452), LRRC37A (616555), LRRC37A2 (616556), NSF (601633)		Cytoregions Not Set			arr[GRCh38] 17q21.31(45384093_46748690) hmz	zyang:zhaowei	false
chr17:63975159-65370361	true	HCC1395_BL.cyhd.cychp		LOH	17	q23.3	q24.1	1395.202	261	27	PRR29-AS1, PRR29, ICAM2, ERN1, SNHG25, SNORD104, SNORA50C, TEX2, PECAM1, MIR1273E, MILR1, POLG2, DDX5, MIR3064, MIR5047, CEP95, SMURF2, LOC146880, MIR6080, PLEKHM1P1, MIR4315-2, MIR4315-1, LRRC37A3, AMZ2P1, GNA13, LOC100507002, RGS9	9	ICAM2 (146630), ERN1 (604033), PECAM1 (173445), POLG2 (604983), DDX5 (180630), SMURF2 (605532), LRRC37A3 (616557), GNA13 (604406), RGS9 (604067)		Cytoregions Not Set			arr[GRCh38] 17q23.3q24.1(63975159_65370361) hmz	zyang:zhaowei	false
chr19:41755227-43481871	true	HCC1395_BL.cyhd.cychp		LOH	19	q13.2	q13.31	1726.644	172	51	CEACAM6, CEACAM3, LYPD4, DMRTC2, RPS19, MIR6797, CD79A, ARHGEF1, LOC100505585, RABAC1, ATP1A3, GRIK5, ZNF574, POU2F2, LOC100505622, MIR4323, DEDD2, ZNF526, GSK3A, ERF, CIC, PAFAH1B3, PRR19, TMEM145, MEGF8, MIR8077, CNFN, LOC101930071, LIPE-AS1, LIPE, CXCL17, CEACAM1, CEACAM8, PSG3, PSG8, LOC100289650, PSG10P, PSG1, PSG6, PSG7, PSG11, PSG2, PSG5, PSG4, LOC284344, PSG9, PRG1, CD177, TEX101, LYPD3, PHLDB3	36	CEACAM6 (163980), CEACAM3 (609142), DMRTC2 (614806), RPS19 (603474), CD79A (112205), ARHGEF1 (601855), RABAC1 (604925), ATP1A3 (182350), GRIK5 (600283), POU2F2 (164176), ZNF526 (614387), GSK3A (606784), ERF (611888), CIC (612082), PAFAH1B3 (603074), MEGF8 (604267), CNFN (611764), LIPE (151750), CXCL17 (611387), CEACAM1 (109770), CEACAM8 (615747), PSG3 (176392), PSG8 (176397), PSG10P (176399), PSG1 (176390), PSG6 (176395), PSG7 (176396), PSG11 (176401), PSG2 (176391), PSG5 (176394), PSG4 (176393), PSG9 (176398),  (605157), CD177 (162860), TEX101 (612665), LYPD3 (609484)		Cytoregions Not Set			arr[GRCh38] 19q13.2q13.31(41755227_43481871) hmz	zyang:zhaowei	false
chr2:134816848-136164133	true	HCC1395_BL.cyhd.cychp		LOH	2	q21.3	q22.1	1347.285	239	16	ACMSD, MIR5590, CCNT2-AS1, CCNT2, MAP3K19, RAB3GAP1, ZRANB3, R3HDM1, MIR128-1, UBXN4, LCT, LOC100507600, MCM6, DARS, DARS-AS1, CXCR4	10	ACMSD (608889), CCNT2 (603862), RAB3GAP1 (602536), ZRANB3 (615655), MIR128-1 (611774), UBXN4 (611216), LCT (603202), MCM6 (601806), DARS (603084), CXCR4 (162643)		Cytoregions Not Set			arr[GRCh38] 2q21.3q22.1(134816848_136164133) hmz	zyang:zhaowei	false
chr2:160583687-163631733	true	HCC1395_BL.cyhd.cychp		LOH	2	q24.2	q24.3	3048.046	722	16	TANK, LOC101929512, LOC100996579, PSMD14, TBR1, AHCTF1P1, SLC4A10, DPP4, LOC101929532, GCG, FAP, IFIH1, GCA, KCNH7, LOC101929570, FIGN	11	TANK (603893), PSMD14 (607173), TBR1 (604616), SLC4A10 (605556), DPP4 (102720), GCG (138030), FAP (600403), IFIH1 (606951), GCA (607030), KCNH7 (608169), FIGN (605295)		Cytoregions Not Set			arr[GRCh38] 2q24.2q24.3(160583687_163631733) hmz	zyang:zhaowei	false
chr2:166951937-167969545	true	HCC1395_BL.cyhd.cychp		LOH	2	q24.3	q24.3	1017.608	243	5	XIRP2, XIRP2-AS1, LOC105616981, B3GALT1, STK39	3	XIRP2 (609778), B3GALT1 (603093), STK39 (607648)		Cytoregions Not Set			arr[GRCh38] 2q24.3(166951937_167969545) hmz	zyang:zhaowei	false
chr2:187924999-189925268	true	HCC1395_BL.cyhd.cychp		LOH	2	q32.1	q32.2	2000.269	425	18	LINC01090, GULP1, MIR561, DIRC1, COL3A1, MIR1245A, MIR1245B, MIR3606, COL5A2, MIR3129, WDR75, SLC40A1, ASNSD1, ANKAR, OSGEPL1, OSGEPL1-AS1, ORMDL1, PMS1	8	GULP1 (608165), DIRC1 (606423), COL3A1 (120180), COL5A2 (120190), SLC40A1 (604653), ANKAR (609803), ORMDL1 (610073), PMS1 (600258)		Cytoregions Not Set			arr[GRCh38] 2q32.1q32.2(187924999_189925268) hmz	zyang:zhaowei	false
chr2:191839317-193473954	true	HCC1395_BL.cyhd.cychp		LOH	2	q32.3	q32.3	1634.637	343	3	SDPR, TMEFF2, PCGEM1	3	SDPR (606728), TMEFF2 (605734), PCGEM1 (605443)		Cytoregions Not Set			arr[GRCh38] 2q32.3(191839317_193473954) hmz	zyang:zhaowei	false
chr2:193814377-195020382	true	HCC1395_BL.cyhd.cychp		LOH	2	q32.3	q32.3	1206.005	232	2	LOC101927406, LOC101927431	0			Cytoregions Not Set			arr[GRCh38] 2q32.3(193814377_195020382) hmz	zyang:zhaowei	false
chr2:195108055-196585755	true	HCC1395_BL.cyhd.cychp		LOH	2	q32.3	q32.3	1477.7	396	5	SLC39A10, DNAH7, STK17B, HECW2, LOC101927482	3	SLC39A10 (608733), DNAH7 (610061), STK17B (604727)		Cytoregions Not Set			arr[GRCh38] 2q32.3(195108055_196585755) hmz	zyang:zhaowei	false
chr2:32403549-33109240	true	HCC1395_BL.cyhd.cychp	3.0	Gain	2	p22.3	p22.3	705.691	772	8	BIRC6, MIR558, BIRC6-AS2, TTC27, MIR4765, LINC00486, LOC100271832, LTBP1	3	BIRC6 (605638), MIR558 (616473), LTBP1 (150390)		Cytoregions Not Set			arr[GRCh38] 2p22.3(32403549_33109240)x3	zyang:zhaowei	false
chr2:50966720-52035520	true	HCC1395_BL.cyhd.cychp		LOH	2	p16.3	p16.3	1068.8	312	2	NRXN1, LOC730100	1	NRXN1 (600565)		Cytoregions Not Set			arr[GRCh38] 2p16.3(50966720_52035520) hmz	zyang:zhaowei	false
chr2:82302850-84088401	true	HCC1395_BL.cyhd.cychp		LOH	2	p12	p11.2	1785.551	415	1	LOC1720	0			Cytoregions Not Set			arr[GRCh38] 2p12p11.2(82302850_84088401) hmz	zyang:zhaowei	false
chr2:96700565-97748201	true	HCC1395_BL.cyhd.cychp		LOH	2	q11.2	q11.2	1047.636	74	19	FER1L5, LMAN2L, CNNM4, MIR3127, CNNM3, ANKRD23, ANKRD39, SEMA4C, FAM178B, LOC101927053, FAHD2B, ANKRD36, LOC100506076, LOC100506123, ANKRD36B, COX5B, ACTR1B, LINC01125, ZAP70	8	LMAN2L (609552), CNNM4 (607805), CNNM3 (607804), ANKRD23 (610736), SEMA4C (604462), COX5B (123866), ACTR1B (605144), ZAP70 (176947)		Cytoregions Not Set			arr[GRCh38] 2q11.2(96700565_97748201) hmz	zyang:zhaowei	false
chr20:25115857-26309289	true	HCC1395_BL.cyhd.cychp		LOH	20	p11.21	p11.1	1193.432	152	19	LOC284798, LOC101926889, ENTPD6, PYGB, ABHD12, GINS1, NINL, NANP, ZNF337-AS1, ZNF337, LOC105372582, FAM182B, LOC101926935, LOC101926955, LOC100134868, FAM182A, NCOR1P1, MIR663AHG, MIR663A	6	ENTPD6 (603160), PYGB (138550), ABHD12 (613599), GINS1 (610608), NINL (609580), NANP (610763)		Cytoregions Not Set			arr[GRCh38] 20p11.21p11.1(25115857_26309289) hmz	zyang:zhaowei	false
chr20:33581915-34587698	true	HCC1395_BL.cyhd.cychp		LOH	20	q11.22	q11.22	1005.783	124	20	CBFA2T2, NECAB3, C20orf144, ACTL10, E2F1, PXMP4, ZNF341, ZNF341-AS1, CHMP4B, RALY-AS1, RALY, MIR4755, EIF2S2, ASIP, AHCY, ITCH, MIR644A, DYNLRB1, MAP1LC3A, PIGU	13	CBFA2T2 (603672), NECAB3 (612478), E2F1 (189971), PXMP4 (616397), CHMP4B (610897), RALY (614663), EIF2S2 (603908), ASIP (600201), AHCY (180960), ITCH (606409), DYNLRB1 (607167), MAP1LC3A (601242), PIGU (608528)		Cytoregions Not Set			arr[GRCh38] 20q11.22(33581915_34587698) hmz	zyang:zhaowei	false
